Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1282,TUBB4B,Cluster 316,5,Component 2,7,1,1,6
1283,GIMAP5,Cluster 4344,1,Component 457,0,0,1,0
1284,FAM186B,Cluster 4343,1,Component 458,0,0,1,0
1285,RPS27L,Cluster 141,9,Component 2,4,0,1,4
1286,CH25H,Cluster 472,4,Component 2,4,0,1,4
1287,CXCR1,Cluster 18,30,Component 2,12,2,1,10
1288,POT1,Cluster 41,21,Component 2,9,0,1,9
1289,TECPR2,Cluster 1364,2,Component 2,4,0,1,4
1290,CTNNBL1,Cluster 846,3,Component 2,19,7,1,12
1291,KLHDC10,Cluster 315,5,Component 2,5,1,1,4
1292,LRTM1,Cluster 4342,1,Component 459,0,0,1,0
1293,SLC16A5,Cluster 314,5,Component 2,2,0,1,2
1294,HBM,Cluster 15,31,Component 2,14,1,1,13
1295,S100G,Cluster 1363,2,Component 2,1,0,1,1
1296,KATNAL1,Cluster 4341,1,Component 460,0,0,1,0
1297,KDELR3,Cluster 1362,2,Component 2,8,2,1,6
1298,GHDC,Cluster 4340,1,Component 461,0,0,1,0
1299,DPEP1,Cluster 4339,1,Component 462,0,0,1,0
1300,HRH2,Cluster 4338,1,Component 463,0,0,1,0
1301,AVIL,Cluster 4337,1,Component 464,0,0,1,0
1302,CHCHD4,Cluster 1361,2,Component 2,1,0,1,1
1303,CD53,Cluster 27,26,Component 2,15,0,1,15
1304,MCM10,Cluster 1,96,Component 2,57,4,1,53
1305,FANCI,Cluster 1,96,Component 2,60,4,1,56
1306,TMEM201,Cluster 4336,1,Component 465,0,0,1,0
1307,CLK1,Cluster 4335,1,Component 2,24,5,1,19
1308,C2orf83,Cluster 4334,1,Component 466,0,0,1,0
1309,MRPL52,Cluster 784,3,Component 2,2,0,1,2
1310,SPRR1B,Cluster 171,8,Component 2,13,3,1,10
1311,EOGT,Cluster 516,4,Component 2,2,1,1,1
1312,STK25,Cluster 158,8,Component 2,8,0,1,8
1313,FGF3,Cluster 1415,2,Component 280,1,1,1,0
1314,HAMP,Cluster 185,7,Component 2,3,0,1,3
1315,TTPAL,Cluster 471,4,Component 2,2,0,1,2
1316,TMEM231,Cluster 4333,1,Component 467,0,0,1,0
1317,TUSC3,Cluster 1360,2,Component 2,3,0,1,3
1318,CTXN1,Cluster 4332,1,Component 468,0,0,1,0
1319,TNNT2,Cluster 470,4,Component 2,1,0,1,1
1320,USO1,Cluster 204,7,Component 2,13,4,1,9
1321,DOLPP1,Cluster 1359,2,Component 2,2,0,1,2
1322,KRT75,Cluster 4331,1,Component 469,0,0,1,0
1323,H1-3,Cluster 45,19,Component 2,15,0,1,15
1324,SARDH,Cluster 4330,1,Component 470,0,0,1,0
1325,CLASRP,Cluster 1358,2,Component 2,3,0,1,3
1326,ZCCHC2,Cluster 3,64,Component 2,21,2,1,19
1327,B3GNT6,Cluster 4329,1,Component 471,0,0,1,0
1328,CUL3,Cluster 4328,1,Component 2,4,0,1,4
1329,ADAP1,Cluster 4327,1,Component 472,0,0,1,0
1330,CLDN9,Cluster 4326,1,Component 473,0,0,1,0
1331,PHEX,Cluster 4325,1,Component 474,0,0,1,0
1332,KRTCAP2,Cluster 783,3,Component 2,2,0,1,2
1333,DRC3,Cluster 4324,1,Component 475,0,0,1,0
1334,IL17A,Cluster 1357,2,Component 2,1,0,1,1
1335,CRCT1,Cluster 130,9,Component 2,1,0,1,1
